Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Priority,Channel,Discount Amount,Cost Price,Sale Price,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
North America,California,Chula Vista,ABC Computers,8,MSI,GS66 Stealth,HDD,Kerry,Williams,142.837.2973,qjohnson@example.org,Alyssa Martinez,Repairs,Cash,High,Online,14,7557,11725,2023-10-27,2023-11-26,0,8GB,429,3299,977,8998,1TB
North America,Michigan,Royal Oak,A & A PCs,4,Apple,Apple iMac,HDD,Brenda,Hodge,(666)966-2420,christopherbennett@example.net,Allen Juarez,Returns,Finance,Medium,Offline,634,25977,29202,2022-11-17,N/A,21373,8GB,589,0,363,27854,1TB
Africa,Kenya,Nakuru,Jacks Hardware,4,Asus,ROG Strix Scar III,HDD,Erin,Williams,287.920.6275x7777,adrianjohnson@example.com,Kenneth Moore,New Sales,Bank Transfer,High,Online,380,19361,21367,2022-01-22,2022-02-06,0,2GB,740,0,977,19877,500GB
Africa,Tanzania,Pemba Kusini,Frankies Hardware and Software,6,Apple,Apple PowerBook G4,SSD,Christopher,Long,+1-838-470-0689x7919,sandovalrussell@example.org,Alicia Evans,New Sales,Cash,High,Online,699,17109,20011,2022-10-07,2022-10-26,0,16GB,778,0,306,19402,256GB
North America,Florida,Hialeah,Ricks Computers,2,Microsoft,Surface Book,SSD,Elizabeth,Becker,826-331-4982,vmitchell@example.com,Alexis Murray,Second-hand Sales,Bank Transfer,Medium,Online,179,20756,22946,2022-06-19,2022-07-08,0,4GB,518,0,321,22856,500GB
North America,California,Irvine,KyaSand Tech Gadgets,10,Samsung,Notebook Odyssey,HDD,Pamela,Mcneil,655-774-3937x780,petersontammy@example.com,Larry Smith,Second-hand Sales,Finance,Medium,Offline,729,10910,14333,2021-06-16,N/A,17276,2GB,544,0,101,12247,500GB
Africa,Morocco,Ouezzane,LJ Computers,4,Dell,Precision,SSD,Grant,Robertson,181965151,melissawood@example.net,Gina Day,Second-hand Sales,Bank Transfer,High,Offline,84,15191,18781,2023-04-17,N/A,0,4GB,740,0,825,18164,256GB
Africa,South Africa,Gauteng,Greens Laptops and PCs,9,Asus,ZenBook Flip S UX371,SSD,Lisa,Kaiser,(298)656-7674,meganwolfe@example.net,Mary Nelson,Returns,Finance,High,Offline,688,6794,10781,2021-06-01,N/A,37658,4GB,428,0,143,10101,500GB
North America,Illinois,Orland Park,ABC Computers,8,Lenovo,ThinkPad T14,HDD,Jennifer,Roach,(080)276-3367x495,joshualawrence@example.net,Glenda Cohen,Repairs,Cash,High,Online,121,25958,29343,2021-11-08,2021-12-07,0,16GB,657,2046,434,27024,500GB
Africa,Nigeria,Ondo,Ricks Computers,10,HP,Spectre,HDD,Lisa,Lynn,(652)783-8113x942,grace35@example.org,Mary Shaw,New Sales,Finance,Low,Offline,51,16949,19423,2021-12-16,N/A,18995,4GB,817,0,733,18827,500GB
North America,Illinois,Berwyn,GH PC Shop,6,Asus,VivoBook S14,HDD,Patricia,Roberts,674.737.0858,ryanchristopher@example.org,Daniel Serrano,Repairs,Finance,Medium,Online,618,28751,30808,2022-07-11,2022-07-13,11175,4GB,761,4951,247,29698,256GB
Africa,Kenya,Tharaka-Nithi,DEF Machines,3,Apple,Apple Macintosh Classic,HDD,Kimberly,Peters,(100)703-7041,pennycobb@example.net,Cassandra Mcmillan,Repairs,Bank Transfer,Medium,Online,971,15261,19210,2023-01-01,2023-01-05,0,2GB,785,1815,736,17590,256GB
Africa,Botswana,Ghanzi,Greens Laptops and PCs,9,Lenovo,ThinkCentre M920 Tiny,SSD,Angela,Brown,(566)426-0077,wellsangela@example.org,Sarah Riley,Repairs,Bank Transfer,Low,Online,297,17334,22130,2023-02-01,2023-02-22,0,4GB,689,4934,130,21342,256GB
Africa,Ghana,Northern,Ricks Computers,2,Asus,VivoBook S14,HDD,Brooke,Jones,(832)592-6431,gina83@example.net,Troy Howell,New Sales,Bank Transfer,Low,Online,631,21520,26144,2023-10-27,2023-11-20,0,16GB,815,0,370,24367,256GB
North America,Illinois,Waukegan,ABC Computers,5,Asus,ExpertBook B9,SSD,Nichole,May,+1-594-718-8830x555,johnsonjeffrey@example.org,Ashley Jones,Second-hand Sales,Finance,Medium,Online,20,11127,15831,2021-05-10,2021-05-16,18443,8GB,522,0,432,13309,1TB
Africa,Kenya,Kitui,ABC Computers,3,MSI,Alpha 15,HDD,Nicholas,Alexander,001-555-339-7850x168,anthony38@example.net,Kenneth Moore,Returns,Cash,Low,Offline,938,13849,16865,2023-10-01,N/A,0,4GB,516,0,969,16161,1TB
North America,California,Fresno,CK Tech Store,10,Toshiba,Dynabook,SSD,Matthew,Smith,7182073394,john84@example.com,Joe Black,Returns,Cash,Low,Online,909,24130,27031,2023-10-19,2023-11-08,0,2GB,497,0,668,26663,256GB
North America,North Carolina,Gastonia,Benjis Tech,9,Acer,Chromebook Spin 311,HDD,Madeline,Armstrong,870.710.3196x3586,michael26@example.net,Craig Wheeler,New Sales,Finance,Medium,Offline,141,19746,23575,2021-06-01,N/A,34519,2GB,431,0,546,21275,500GB
North America,North Carolina,Salisbury,Greens Laptops and PCs,4,Microsoft,Surface Pro,HDD,Carolyn,Carter,(714)403-0106x45431,gking@example.org,Brittany Franklin,New Sales,Finance,Medium,Offline,78,25966,30237,2023-11-18,N/A,5254,2GB,809,0,153,28403,1TB
Africa,Angola,Namibe,GH PC Shop,7,Samsung,Galaxy Chromebook 2,HDD,Michael,Espinoza,7106609566,wagnerjimmy@example.net,Hector Robertson,Returns,Finance,Low,Offline,978,25099,28049,2022-07-04,N/A,25441,4GB,572,0,191,25475,500GB
North America,North Carolina,Concord,Jacks Hardware,2,Asus,ROG Zephyrus S GX701,HDD,Patrick,Green,5189869136,peckanthony@example.org,Brady Walton,Second-hand Sales,Finance,Medium,Online,949,18280,22734,2024-03-03,2024-03-10,12154,4GB,548,0,26,21566,500GB
North America,Illinois,Arlington Heights,Jacks Hardware,4,Acer,Aspire E 15,HDD,Amber,Goodwin,430.286.3788x5154,wrightpatrick@example.net,Kathleen Robinson,Second-hand Sales,Bank Transfer,High,Offline,718,12228,14807,2024-02-03,N/A,0,16GB,613,0,436,12942,256GB
Africa,Ghana,Central,ABC Computers,5,Samsung,Notebook 9,SSD,Timothy,Brown,773-182-3791x46259,jillsampson@example.com,Jonathan Miller,New Sales,Finance,High,Online,39,21440,25392,2023-03-07,2023-03-21,49235,4GB,628,0,520,23006,256GB
North America,California,San Bernardino,GH PC Shop,1,Lenovo,ThinkPad P15s,SSD,Charles,Davis,566-410-8863x77590,rebeccaadams@example.com,Sean Rodriguez,New Sales,Finance,Medium,Online,973,11092,14853,2023-06-02,2023-06-09,23344,4GB,784,0,676,13664,1TB
North America,Illinois,Arlington Heights,KyaSand Tech Gadgets,2,MSI,GP65 Leopard,HDD,Amy,Gomez,001-068-214-0596x5278,connerkeith@example.com,Amanda Mitchell,New Sales,Cash,Medium,Offline,886,27622,32021,2023-07-21,N/A,0,2GB,651,0,162,28996,1TB
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",LJ Computers,7,Toshiba,Dynabook,HDD,Steven,Pham,459.191.1321,sullivanjames@example.org,Michael Summers,Second-hand Sales,Finance,High,Online,168,11821,15554,2022-01-08,2022-01-27,37332,2GB,516,0,823,13995,500GB
Africa,Botswana,Kweneng,A & A PCs,7,HP,Stream,HDD,Beth,Russell,(757)341-5077x26550,gvaughn@example.org,Michael Byrd,New Sales,Cash,Medium,Offline,324,13832,16760,2021-08-08,N/A,0,2GB,689,0,488,15241,1TB
Africa,South Africa,Northern Cape,ABC Computers,6,Microsoft,Surface Book,HDD,Courtney,Johnson,808.186.0221x1465,dianafischer@example.org,Carol Smith,Repairs,Bank Transfer,High,Offline,850,13214,16078,2023-08-08,N/A,0,16GB,667,1140,817,13588,256GB
Africa,Ghana,Western,XYZ Tech,3,Dell,Venue,SSD,Matthew,Thomas,(407)856-6803x0870,jcooper@example.org,Amanda Hurley,New Sales,Cash,Low,Offline,298,20746,24938,2023-08-17,N/A,0,16GB,741,0,669,21980,256GB
Africa,Morocco,Guelmim,XYZ Tech,10,Toshiba,Satellite,SSD,Aaron,Spencer,107-106-9029x9115,stacey97@example.org,Kelly Mitchell,Repairs,Bank Transfer,Low,Offline,704,8839,13271,2022-04-06,N/A,0,8GB,568,3891,317,12164,1TB
North America,New York,Mount Vernon,ABC Computers,7,Acer,ConceptD 5,HDD,Steven,Alexander,001-915-147-5305,zadams@example.net,Kelsey Olson,Repairs,Bank Transfer,Low,Online,411,20990,25255,2023-01-01,2023-01-31,0,2GB,451,4717,123,25220,1TB
Africa,Ghana,Volta,A & A PCs,8,MSI,P65 Creator,SSD,Cameron,Jones,+1-462-294-5992,phillip03@example.net,Kevin Lee,Second-hand Sales,Bank Transfer,Low,Offline,234,22176,26293,2023-10-17,N/A,0,2GB,520,0,47,25546,256GB
Africa,Kenya,Makueni,S & A Computer Place,10,Acer,Spin 5,SSD,Ralph,Rodriguez,001-907-369-6538x9469,joseroth@example.net,Christopher Santos,New Sales,Finance,Medium,Online,915,20865,24690,2021-12-12,2022-01-04,10464,4GB,671,0,694,23277,1TB
North America,New York,Binghamton,CK Tech Store,3,Dell,G Series,HDD,Renee,Cooper,+1-192-343-3369x9179,gdavis@example.net,Natalie Jimenez,New Sales,Cash,Medium,Online,859,16136,18675,2023-02-22,2023-03-17,0,8GB,725,0,613,18288,256GB
Africa,Angola,Cuando Cubango,CK Tech Store,9,Apple,Apple iMac,SSD,Nicole,Payne,413-198-7204x0804,earl63@example.org,Hector Robertson,Returns,Cash,Medium,Online,923,11762,15876,2023-12-18,2024-01-12,0,2GB,509,0,825,12605,500GB
North America,California,San Jose,XYZ Tech,3,Apple,Apple Mac Pro,SSD,Christopher,Daniels,(643)104-8462,mellis@example.net,Sean Rodriguez,Second-hand Sales,Bank Transfer,Medium,Online,394,7121,10387,2022-06-28,2022-07-24,0,2GB,621,0,772,8390,256GB
North America,Pennsylvania,Lebanon,Mini Tech,8,Microsoft,Surface Laptop,HDD,Wanda,Cook,001-002-225-3366x0722,robertbarnes@example.com,Julia Dodson,Returns,Finance,High,Online,997,3601,6262,2021-06-06,2021-06-18,29919,2GB,465,0,971,5977,256GB
North America,California,San Jose,DEF Machines,4,Dell,Vostro,SSD,Dylan,Henry,401.414.4447,bailey23@example.com,Andrew Miranda,Returns,Cash,Low,Offline,733,22149,26540,2021-10-26,N/A,0,8GB,645,0,324,24313,500GB
North America,Georgia,Macon,Frankies Hardware and Software,7,Acer,Predator Helios 300,SSD,Debra,Bryant,+1-987-688-0384x967,maryhumphrey@example.net,Rebecca Brown,New Sales,Bank Transfer,Low,Offline,779,23823,28231,2023-04-26,N/A,0,16GB,609,0,413,27083,256GB
Africa,Egypt,Matrouh,LJ Computers,1,Lenovo,ThinkPad X13 Yoga,HDD,Rita,Chapman,(705)174-7371,hammondjulie@example.org,Michael Gibson,New Sales,Finance,Medium,Offline,705,12847,14930,2023-09-28,N/A,46356,4GB,761,0,759,14149,500GB
North America,Florida,Davie,GH PC Shop,3,HP,Stream,HDD,Willie,Reeves,+1-058-033-7233,marysmith@example.org,William Macdonald,Returns,Cash,Low,Online,415,20012,23066,2021-07-08,2021-07-15,0,16GB,498,0,174,20606,500GB
North America,New York,Syracuse,Frankies Hardware and Software,8,Asus,ROG Strix Scar III,HDD,Mason,Santiago,886.158.7356x9754,macdonaldmary@example.net,Kelsey Olson,Returns,Bank Transfer,Medium,Online,316,3913,8584,2023-04-11,2023-04-30,0,8GB,652,0,98,6082,1TB
North America,Florida,West Palm Beach,A & A PCs,2,HP,Envy,HDD,Scott,Thompson,661-062-8359x59205,vrogers@example.org,Deborah Anderson MD,Second-hand Sales,Cash,Low,Online,15,24371,27551,2023-12-17,2023-12-24,0,2GB,821,0,252,26459,256GB
Africa,Tanzania,Tabora,Western International PCs,6,Microsoft,Surface Hub,HDD,Tommy,Thompson,(208)022-4444x1460,jamesdaniel@example.org,Corey Rasmussen,New Sales,Cash,High,Online,906,26475,29974,2022-02-10,2022-02-25,0,2GB,757,0,914,28915,1TB
North America,California,Modesto,Benjis Tech,3,Toshiba,Portege,HDD,Ashley,Conrad,353.269.9299x294,hfreeman@example.net,Larry Smith,Returns,Bank Transfer,High,Online,841,14781,18883,2023-10-16,2023-10-20,0,4GB,699,0,429,18622,1TB
Africa,Nigeria,Adamawa,XYZ Tech,7,Acer,Aspire E 15,SSD,Luis,Guerrero,763.599.8783x07753,evansbrenda@example.org,Timothy Leach,Repairs,Finance,Medium,Online,770,12197,15158,2023-08-30,2023-09-29,7222,2GB,453,2268,142,15079,256GB
Africa,Kenya,Taita-Taveta,ABC Computers,2,Dell,Alienware,HDD,Bradley,Mccall,+1-365-364-4219,jeffmurphy@example.org,Cassandra Mcmillan,Second-hand Sales,Bank Transfer,High,Online,910,20189,22913,2022-01-15,2022-02-02,0,8GB,765,0,755,21466,1TB
North America,North Carolina,Charlotte,S & A Computer Place,7,HP,Spectre,HDD,Jeffrey,Martinez,232-497-5709x60368,uallen@example.net,Robert Wood,Repairs,Bank Transfer,Low,Online,887,25555,30055,2021-08-23,2021-08-25,0,16GB,555,3741,173,25609,1TB
Africa,South Africa,Mpumalanga,Jacks Hardware,5,HP,Elitebook,SSD,Michael,Murray,+1-672-463-4891x88806,lbrown@example.org,Mrs. Barbara Davenport,Second-hand Sales,Finance,High,Online,668,16881,20979,2024-01-09,2024-01-12,14012,16GB,503,0,791,18146,1TB
Africa,Kenya,Migori,GH PC Shop,8,Acer,Predator Helios 300,SSD,Lisa,Stephens,+1-590-612-8328x7385,mortiz@example.net,Jeffrey Cook,New Sales,Bank Transfer,High,Offline,696,23040,26135,2021-03-16,N/A,0,2GB,727,0,702,24992,1TB
North America,Florida,Tallahassee,GH PC Shop,9,Toshiba,Libretto,HDD,Grant,Day,001-992-824-3817x1218,pcontreras@example.org,Raymond Larson,New Sales,Cash,High,Offline,331,14469,17833,2023-01-15,N/A,0,2GB,505,0,130,17629,500GB
Africa,Botswana,North-East,Frankies Hardware and Software,4,Apple,Apple Lisa,HDD,Kenneth,White,+1-021-674-7422x4082,candacegibson@example.com,Lisa Williams,Second-hand Sales,Finance,High,Online,40,28966,32610,2023-11-08,2023-12-05,27288,4GB,582,0,86,29256,256GB
North America,Ohio,Springfield,XYZ Tech,4,MSI,Alpha 15,SSD,Nancy,Smith,854.880.1176x56848,underwoodkatie@example.org,Diamond Baker,Returns,Finance,Medium,Online,769,27582,31801,2023-11-23,2023-12-21,48070,2GB,735,0,301,27723,500GB
North America,California,Anaheim,Jacks Hardware,10,MSI,Modern 15,HDD,Michelle,Hancock,001-255-153-8979,michael68@example.org,Andrew Miranda,New Sales,Bank Transfer,Low,Offline,924,27749,31849,2022-03-07,N/A,0,2GB,765,0,641,31848,500GB
North America,Michigan,Troy,Benjis Tech,10,MSI,Alpha 15,SSD,Jared,Shaw,(870)728-4319x79069,amandaleach@example.com,Casey Dunn,New Sales,Cash,Low,Online,154,4766,8559,2023-04-09,2023-05-06,0,4GB,701,0,281,7451,256GB
Africa,Kenya,Kisii,ABC Computers,3,Apple,Apple iMac,SSD,Justin,Hunt,599.017.9541,kevin25@example.org,David Ellis,Second-hand Sales,Bank Transfer,Low,Online,995,15695,18115,2023-12-09,2024-01-03,0,8GB,624,0,52,17199,1TB
